Date,day_name,month_name,Sales,Quantity Sold,daily_sales_price_per_unit,Cost Of Sales,daily_gross_profit_percent_per_unit,avg_unit_sales_price
2013-12-30,Mon,Dec,223937.9679,6827,32.8,230079.621,-2.74,35.4
2013-12-31,Tue,Dec,300345.4846,9268,32.41,306986.1205,-2.21,35.4
2014-01-01,Wed,Jan,86782.46773,2678,32.41,87986.31821,-1.39,35.4
2014-01-02,Thu,Jan,200173.1168,6175,32.42,202881.1777,-1.35,35.4
2014-01-03,Fri,Jan,326906.0742,10084,32.42,333806.2919,-2.11,35.4
2014-01-04,Sat,Jan,307043.9354,9470,32.42,313652.3483,-2.15,35.4
2014-01-05,Sun,Jan,179188.8845,5524,32.44,183083.285,-2.17,35.4
2014-01-06,Mon,Jan,306351.9509,9448,32.43,313446.0681,-2.32,35.4
2014-01-07,Tue,Jan,224020.41,6911,32.42,229533.9737,-2.46,35.4
2014-01-08,Wed,Jan,101836.4022,2990,34.06,99381.96752,2.41,35.4
2014-01-09,Thu,Jan,107804.3049,3159,34.13,104816.4585,2.77,35.4
2014-01-10,Fri,Jan,144829.9567,4246,34.11,141333.9963,2.41,35.4
2014-01-11,Sat,Jan,146571.4824,4297,34.11,143179.67,2.31,35.4
2014-01-12,Sun,Jan,95422.37298,2796,34.13,93126.14724,2.41,35.4
2014-01-13,Mon,Jan,114883.1738,3369,34.1,112186.3087,2.35,35.4
2014-01-14,Tue,Jan,80090.80008,2348,34.11,78096.76018,2.49,35.4
2014-01-15,Wed,Jan,98945.37116,2903,34.08,97159.00259,1.81,35.4
2014-01-16,Thu,Jan,84904.90171,2491,34.08,83350.43316,1.83,35.4
2014-01-17,Fri,Jan,135460.6197,3968,34.14,132703.3354,2.04,35.4
2014-01-18,Sat,Jan,149925.7497,4393,34.13,146928.4118,2,35.4
2014-01-19,Sun,Jan,74297.30718,2176,34.14,72782.28432,2.04,35.4
2014-01-20,Mon,Jan,83356.42456,2443,34.12,81789.13612,1.88,35.4
2014-01-21,Tue,Jan,89922.01429,2638,34.09,88388.91607,1.7,35.4
2014-01-22,Wed,Jan,57806.30278,1704,33.92,57157.28254,1.12,35.4
2014-01-23,Thu,Jan,63977.75035,1872,34.18,62863.98724,1.74,35.4
2014-01-24,Fri,Jan,116958.7998,3423,34.17,114823.7952,1.83,35.4
2014-01-25,Sat,Jan,155272.8248,4544,34.17,152636.2766,1.7,35.4
2014-01-26,Sun,Jan,82885.21591,2426,34.17,81583.16695,1.57,35.4
2014-01-27,Mon,Jan,72353.42588,2117,34.18,71377.15646,1.35,35.4
2014-01-28,Tue,Jan,50415.90376,1476,34.16,49769.09824,1.28,35.4
2014-01-29,Wed,Jan,67458.30189,1974,34.17,66529.442,1.38,35.4
2014-01-30,Thu,Jan,64640.36931,1892,34.17,63757.83987,1.37,35.4
2014-01-31,Fri,Jan,137693.8735,4030,34.17,135609.5076,1.51,35.4
2014-02-01,Sat,Feb,181209.1285,5304,34.16,178435.7153,1.53,35.4
2014-02-02,Sun,Feb,113433.581,3320,34.17,111466.5168,1.73,35.4
2014-02-03,Mon,Feb,143192.5334,4191,34.17,140505.6347,1.88,35.4
2014-02-04,Tue,Feb,130126.6499,3809,34.16,128496.2877,1.25,35.4
2014-02-05,Wed,Feb,187155.8685,5764,32.47,195078.6033,-4.23,35.4
2014-02-06,Thu,Feb,102314.7096,3028,33.79,101977.99,0.33,35.4
2014-02-07,Fri,Feb,301553.8426,9284,32.48,313529.1877,-3.97,35.4
2014-02-08,Sat,Feb,316073.1775,9737,32.46,329754.7795,-4.33,35.4
2014-02-09,Sun,Feb,135178.0426,4163,32.47,141530.7087,-4.7,35.4
2014-02-10,Mon,Feb,147727.5162,4552,32.45,154828.6846,-4.81,35.4
2014-02-11,Tue,Feb,135498.7464,4172,32.48,139824.1616,-3.19,35.4
2014-02-12,Wed,Feb,163432.8452,5037,32.45,166893.3689,-2.12,35.4
2014-02-13,Thu,Feb,138291.6333,4259,32.47,141027.4345,-1.98,35.4
2014-02-14,Fri,Feb,336901.3717,10381,32.45,343519.8755,-1.96,35.4
2014-02-15,Sat,Feb,367729.2682,11332,32.45,373973.5933,-1.7,35.4
2014-02-16,Sun,Feb,133913.8414,4127,32.45,136797.0774,-2.15,35.4
